pillar,category,count
skincare,Acne Treatment,5938
skincare,Actives,596
skincare,BB/CC Cream,23
skincare,Blush,152
skincare,Body Mist,2
skincare,Brow,80
skincare,Cleanser,1040
skincare,Concealer,133
skincare,Conditioner,131
skincare,Contour,21
skincare,Dye/Color,29
skincare,Exfoliator,436
skincare,Eyeliner,30
skincare,Eyeshadow,28
skincare,Foundation,658
skincare,Hair Gel,14
skincare,Hair Mask,32
skincare,Hair Oil,4692
skincare,Hairspray,4
skincare,Highlighter,38
skincare,Lip Gloss,45
skincare,Lip Liner,14
skincare,Lipstick,198
skincare,Mascara,203
skincare,Mask,2903
skincare,Moisturizer,3062
skincare,Other,8999
skincare,Perfume,58
skincare,Powder,170
skincare,Primer,108
skincare,Scalp,86
skincare,Serum,1993
skincare,Setting Spray,17
skincare,Shampoo,227
skincare,Sunscreen,2402
skincare,Toner,650
skincare,Treatment,41
makeup,Acne Treatment,715
makeup,Actives,15
makeup,BB/CC Cream,371
makeup,Blush,6051
makeup,Body Mist,3
makeup,Brow,4041
makeup,Cleanser,79
makeup,Cologne,3
makeup,Concealer,2371
makeup,Conditioner,2
makeup,Contour,2707
makeup,Dye/Color,230
makeup,Exfoliator,23
makeup,Eyeliner,3493
makeup,Eyeshadow,3138
makeup,Foundation,11993
makeup,Hair Gel,10
makeup,Hair Mask,4
makeup,Hair Oil,84
makeup,Hairspray,2
makeup,Highlighter,1560
makeup,Lip Gloss,984
makeup,Lip Liner,647
makeup,Lipstick,11266
makeup,Mascara,3479
makeup,Mask,268
makeup,Moisturizer,194
makeup,Other,125131
makeup,Perfume,59
makeup,Powder,2655
makeup,Primer,729
makeup,Scalp,12
makeup,Serum,57
makeup,Setting Spray,256
makeup,Shampoo,17
makeup,Sunscreen,132
makeup,Toner,19
makeup,Treatment,43
haircare,Acne Treatment,293
haircare,Actives,36
haircare,BB/CC Cream,3
haircare,Blush,91
haircare,Body Mist,1
haircare,Brow,379
haircare,Cleanser,215
haircare,Cologne,3
haircare,Concealer,31
haircare,Conditioner,913
haircare,Contour,25
haircare,Dye/Color,11101
haircare,Exfoliator,45
haircare,Eyeliner,43
haircare,Eyeshadow,57
haircare,Foundation,243
haircare,Hair Gel,743
haircare,Hair Mask,35
haircare,Hair Oil,4748
haircare,Hairspray,236
haircare,Highlighter,430
haircare,Lip Gloss,30
haircare,Lip Liner,8
haircare,Lipstick,150
haircare,Mascara,103
haircare,Mask,198
haircare,Moisturizer,337
haircare,Other,151280
haircare,Perfume,66
haircare,Powder,127
haircare,Primer,19
haircare,Scalp,2216
haircare,Serum,2003
haircare,Setting Spray,13
haircare,Shampoo,2030
haircare,Sunscreen,48
haircare,Toner,88
haircare,Treatment,1658
fragrance,Actives,4
fragrance,BB/CC Cream,1
fragrance,Blush,9
fragrance,Body Mist,4
fragrance,Brow,8
fragrance,Cleanser,3
fragrance,Cologne,245
fragrance,Concealer,2
fragrance,Conditioner,3
fragrance,Contour,5
fragrance,Dye/Color,13
fragrance,Eau de Parfum,50
fragrance,Eau de Toilette,20
fragrance,Exfoliator,3
fragrance,Eyeshadow,2
fragrance,Foundation,16
fragrance,Hair Gel,1
fragrance,Hair Oil,60
fragrance,Highlighter,3
fragrance,Lip Gloss,14
fragrance,Lip Liner,1
fragrance,Lipstick,14
fragrance,Mascara,42
fragrance,Mask,9
fragrance,Moisturizer,54
fragrance,Other,574
fragrance,Perfume,3123
fragrance,Powder,10
fragrance,Primer,2
fragrance,Serum,6
fragrance,Setting Spray,14
fragrance,Shampoo,16
fragrance,Sunscreen,5
fragrance,Toner,4
fragrance,Treatment,1
