pillar,pain_point,count
skincare,Price,342
skincare,Packaging,266
skincare,Quality,1825
skincare,Availability,63
skincare,Sustainability,204
skincare,Compatibility,7069
makeup,Price,613
makeup,Packaging,732
makeup,Quality,4837
makeup,Availability,151
makeup,Sustainability,2254
makeup,Compatibility,7302
haircare,Price,390
haircare,Packaging,922
haircare,Quality,6349
haircare,Availability,104
haircare,Sustainability,854
haircare,Compatibility,1837
fragrance,Price,89
fragrance,Packaging,81
fragrance,Quality,171
fragrance,Availability,15
fragrance,Sustainability,26
fragrance,Compatibility,66
